organization_name,website,phone_number,org_address,org_description,schedule,gender,kids,active,last_update,zipcode
St. Mary's,http://thefbsm.org/about/programs/,Food Pantry: (206) 324-7100 x 18; Home Delivery: (206) 324-7100 x 23,611 20th Ave. S.,Food pantry that also has baby supplies. Call for home delivery information if home-bound. Commodities for residents of east half of 98144. May be served once per week. Visit in person. Documents Required: photo ID or current proof of address. No fees.,"Mon.\, Wed.\, Fri.\, 10 a.m. – 1 p.m.",no restrictions,allowed,t,,
St. Vincent de Paul of Seattle,http://svdpseattle.org,(206) 767-6449,5972 Fourth Ave. S.,"Food pantry. Commodities available to residents of ZIP codes 98108\, 98118\, 98134\, 98168 and 98188 with valid ID. No restrictions for food and other services. See food bank Intake staff for details on availability. Visit in person. No fees.","Tues\, Thur\, Sat 11:00 - 2:00 everyone;  Fri 11 a.m. – 12p.m. homeless clients only",no restrictions,allowed,t,,
Transform Burien,http://transformoutreach.org/clothes-food-bank-laundry/,(206) 839-6620,14501 Fourth Ave. SW,Hot meals and groceries. Visit in person. Documents Required for groceries: photo ID. No fees.,"Hot Meal: Wed.\, noon – 2 p.m.; Fri.\, 5 – 7 p.m.; Sun.\, 3– 5 p.m.; Groceries: Sun.\, 3 – 5 p.m.",no restrictions,allowed,t,,
Trinity United Methodist Church,http://tumseattle.org/soupkitchen,Visit in person,6512 23rd Ave. NW,Light breakfast and a full lunch serving everyone. Visit in person. No fees.,"Sat.\, 9 a.m. – 12:30 p.m.; Lunch: 11:30 a.m.",no restrictions,allowed,t,,
Tukwila Pantry,http://tukwilapantry.org/services.html,(206) 431-8293,"Riverton Park United Methodist\, 3118 S. 140th St. Tukwila","Operates a food pantry and hot meal program for residents of Tukwila\, SeaTac\, Burien and Boulevard Park. No fees.","Food Pantry: Tue.\, Thurs.\, Sat.\, 12:30 – 2:30 p.m.; Meal: Thur.\, 5:30 – 6:30 p.m.",no restrictions,allowed,t,,
University District Food Bank,http://udistrictfoodbank.org/services/,(206) 523-7060,5017 Roosevelt Way NE,"Food pantry\, baby cupboard and home delivery. Visit once a week. Serves residents in ZIP codes 98102\, 98103\, 98105\, 98112\, 98115 and 98125 as well as anyone who is homeless. Visit in person. Call for home delivery. Documents Required: photo ID and proof of address. No fees.","Mon.\, 9 a.m. – 3 p.m.; Tue.\, Thurs.\, 2 – 8 p.m.; Fri.\, 11 a.m. – 4 p.m. ",no restrictions,allowed,t,,
West Seattle Food Bank,http://westseattlefoodbank.org,(206) 932-9023,3419 SW Morgan St.,"Operates a food pantry\, baby cupboard and home delivery. May visit food pantry once per week. Serves those that are homeless or ZIP codes 98106\, 98116\, 98126 and 98136. Visit in person. Arrive early to get a number. Documents Required: photo ID and proof of address (unless homeless). No fees.","General public: Wed.\, noon – 7 p.m.; Thurs.\, 9 a.m. – 2 p.m.; Fri.\, 10 a.m. – 2 p.m.; Seniors 55 and older: Tue: 9 a.m. – 1 p.m.",no restrictions,allowed,t,,
White Center Food Bank,http://whitecenterfoodbank.org/service-hours/,(206) 762-2848,10829 Eighth Ave. SW,"Food pantry\, food bags\, baby supplies and food delivery. Food bags for everyone\, pantry serves ZIP code 98146\, as well as parts of 98106\, 98126\, 98136 and 98168. Call to confirm geographic eligibility. Visit in person. Homebound clients can call. Documents Required: photo ID and proof of address. No fees.","Mon.\, 12 -4; Wed.\, Fri 10 a.m. – 2 p.m.; Evening second and fourth Wed.\, 4 – 7 p.m.; Seniors 60 and older: Thurs.\, 10a.m. – 2 p.m.",no restrictions,allowed,t,,
Woodland Park Presbyterian Church,http://wppcseattle.org,(206) 782-3776,225 N. 70th St.,Meals serving everyone. Not wheelchair accessible. No fees.,"Mon.\, 10 a.m. – 12:30 p.m.",no restrictions,allowed,t,,
YWCA Food Bank,http://ywcaworks.org/programs/central-area-food-bank,(206) 375-1496,2820 E. Cherry St.,Operates a food pantry. Serves residents of the central area of Seattle. Visit in person. No fees.,"General Public: Wed.\, 2 – 3 p.m.; YWCA Clients: Wed.\, 1 – 2 p.m.",no restrictions,allowed,t,,
Chief Seattle Club,http://chiefseattleclub.org/what-we-offer/,(206) 292-6214,410 Second Ave. Extension S.,"Drop-in center with clothing\, meals\, hygiene items\, benefits assistance\, assessment/referral to alcohol treatment\, housing assistance and case management for low-income and homeless American Indians and Alaska Natives 18 and older. Must apply for membership and provide proof of tribal affiliation. Members visit in person. No fees; Apple Health (Medicaid) accepted for chemical dependency assessment.","Drop-in services: daily\, 7 a.m. – 2 p.m.; Breakfast: daily\, 8 – 9:30 a.m.; Lunch: noon – 1 p.m.; Hygiene Services: daily: 7 – 10 a.m.",no restrictions,allowed,t,,
Mother Nation,http://mothernation.org/services/,(206) 722-2321,4250 S. Mead St.,"Services include emergency transportation for victims of domestic violence\, safety planning\, public benefit application assistance\, housing referrals\, referrals to employment\, advocacy with Indian Child Welfare\, Domestic Violence Court and Tribal Courts. Serves Native women. Call for an appointment and more information. Documents Required: tribal ID or other documentation of native descent. Free\, or sliding scale.","Mon. – Fri.\, 9 a.m. – 4:30 p.m.; Workshop hours vary",no restrictions,allowed,t,,
"Neighborhood Legal Clinics\, Second Ave.",http://kcba.org/For-the-Public/Free-Legal-Assistance/neighborhood-legal-clinics,(206) 292-6214 x 1286,"410 Second Ave. Ext. S.\, Chief Seattle Club",Operates a legal clinic. Call for an appointment. Serves low-in- come or homeless self-identifying American Indians and Alaska Natives that live in King County or have a case filed in King County. Call ahead for screening. No fees.,"Seattle Clinic: first Tue.\, 1 – 3 p.m.; third Tue: 6 – 8 p.m.; Office: Mon. – Fri.\, 7 a.m. – 4:30 p.m.",no restrictions,allowed,t,,
Northwest Justice Project,http://nwjustice.org/community-outreach-materials,(206) 464-1519,"401 Second Ave. S.\, Suite 407","Legal services in tribal\, federal or state court matters serving low-income clients who identify as Native American and who live in King County or have a case in King County courts. Call for eligibility screening; leave message with name and contact information. No fees.","Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
Seattle Indian Center,http://seattleindian.org/community-services/,(206) 329-8700,"1265 S. Main St.\, Suite 105","Multi-service center with advocacy and support services\, shelter\, a day center with shower and laundry facilities\, a food pantry and meal program\, a mailing address\, employment search services and GED preparation. Food pantry for ZIP codes 98104\, 98122 and 98144. Men’s Hostel: must be alcohol and drug free and able to pay $15 nightly for men 18 and older; intake in person. Primarily serves American Indians\, Alaska Natives and Hawaiian Natives. Documents required for food pantry and hostel: photo ID.","Day center: Mon. - Fri.\, 10 a.m. – 4:30 p.m.; Breakfast: Mon. – Fri.\, 9:30– 10 a.m.; Lunch: Mon. – Fri.\, noon – 1 p.m.; Food bank: Tue.\, Thurs.\, 1 – 3 p.m.; Men’s hostel intake: Mon. - Thurs. 11 a.m. – 4 p.m.",no restrictions,allowed,t,,
Seattle Indian Health Board,http://sihb.org,(206) 324-9360,611 12th Ave. S.,"Medical\, dental\, mental health\, chemical dependency\, outpatient services and community education services. Offers maternal and infant health services as well as the WIC program. Provides emergency assistance and safety planning for victims of domestic violence. Offers programs and care for veterans. Primarily serves American Indian and Alaska Native people. Call for an appointment. Primary medical care: walk-in clinic available. Offers discounted fees. Accepts Medicare\, Apple Health (Medicaid) and most insurance.","General clinic: Tues.\, 10 a.m. – 6 p.m.; Mon./Wed./Thurs./Fri.\, 8:30 a.m. – 6 p.m.; Sat.\, 9 a.m. – 2 p.m.",no restrictions,allowed,t,,
Thunderbird Treatment Center,http://sihb.org,(206) 722-7152,9236 Renton Ave S. ,"Residential intensive inpatient chemical dependency treatment center. Native American clients can self-refer. Provides culturally appropriate treatment through a 45 day intensive program and six month long-term care program for Native clients. Cross-addictions are treated. Agency provides DBHR-certified service(s). Focuses on Native American adults but will serve anyone. Must be assessed. Program costs $3\,600. No sliding scale. Accepts Apple Health (Medicaid). ","Intake by Phone: Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,not allowed,t,,
United Indians of All Tribes Foundation,http://unitedindians.org,(206) 829-2247; Employment Services: (206) 829-2246,"Daybreak Star Center\, 5011 Bernie Whitebear Way",Lunch to adults 55 and older. Provides employment services for residents of King County that are 18 or older. Call for more information. No fees.,"Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,not allowed,t,,
Arab American Community Coalition,http://seattle.dalilusa.com/arabicdirectory/clients/aacc,(206) 634-9001,,"24-hour hotline staffed by Arabic speakers to deal with harassment\, civil rights advocacy\, personal safety concerns and attacks and immigration issues. Serves everyone. Call. No fees.",Hotline: 24 Hours,no restrictions,allowed,t,,
"Asian Counseling and Referral Services\, Main Office",http://acrs.org/services/,(206) 695-7500,3639 MLK Jr. Way S.,"Offers mental health and substance abuse treatment. Offers case management services to elderly and disabled adults. Operates a food pantry\, a meal program\, employment services\, ESL classes\, citizenship classes and a legal clinic. Agency provides DBHR-certified service(s). Focuses on individuals from Asian and Pacific American communities. Call for more information\, then visit in person. Documents required for food pantry: photo ID and proof of address. No fees for food pantry; call for additional programs.","Mon. – Fri.\, 8 a.m. – 6 p.m.; hours vary by program",no restrictions,allowed,t,,
"Asian Counseling and Referral Services\, Food Pantry",http://acrs.org/services/,(206) 292-5714,919 S. King St.,Documents required for food pantry: photo ID and proof of address. No fees for food pantry; call for additional programs.,"Wed.\, Fri.\, 11:30 a.m. – 1 p.m.; Tickets: 9 a.m.",no restrictions,allowed,t,,
CAIR,http://cairwa.org,(206) 367-4081,"815 First Ave.\, Suite 204","Advocates on behalf of those who have experienced religious discrimination\, defamation\, or hate crimes. Serves practicing Muslims. Call for more information. No fees.","Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
Chinese Information and Service Center,http://cisc-seattle.org/programs/family-support/,(206) 624-5633,611 S. Lane St.,"Multi-service family support center includes naturalization assistance\, ESL classes\, case management to older adults and people with disabilities and family counseling. Hosts a free legal clinic. Primarily serves limited-English-speaking Chinese and other Asian households. Visit in person. Call for fee information.","Office: Mon. – Fri.\, 8:30 a.m. – 5 p.m.; Legal Clinic: Tue.\, 5:30 – 7:30 p.m.; service hours vary",no restrictions,allowed,t,,
"Consejo Counseling and Referral Services\, North Seattle",http://consejonew.consejocounseling.org/services-2-2/,(206) 461-4880; Domestic Violence Program: (206) 461-4880 x 165,"2611 NE 125th St.\, Suite 145",Mental health and substance use disorder treatment. Provides co-occurring disorder treatment. Agency provides DBHR-certified service(s). Primarily serves the Spanish-speaking Latino population. Call for intake. Fees vary by service. Sliding scale often available. Accepts Apple Health (Medicaid).,"Mon. – Fri.\, 8 a.m. – 5 p.m.; Service hours vary",no restrictions,allowed,t,,
"Consejo Counseling and Referral Services\, South Seattle",http://consejonew.consejocounseling.org/services-2-2/,(206) 461-4880; Domestic Violence Program: (206) 461-4880 x 166,3808 S. Angeline St.,Mental health and substance use disorder treatment. Provides co-occurring disorder treatment. Agency provides DBHR-certified service(s). Primarily serves the Spanish-speaking Latino population. Call for intake. Fees vary by service. Sliding scale often available. Accepts Apple Health (Medicaid).,"Mon. –Fri.\, 8 a.m. – 5 p.m.; Service hours vary",no restrictions,allowed,t,,
Filipino Community of Seattle,http://filcommsea.org,(206) 722-9372,5740 MLK Jr. Way S.,Offers a congregate ethnic meal program. Focuses on older adults in the Filipino community. Visit in person. $3 for lunch.,"Mon. – Fri.\, 10 a.m. – 4 p.m.; Filipino Lunch Program: Mon.\, Tues.\, Thurs. 10 a.m. - 1 p.m.; Lunch Program: Wed.\, Fri. 10 a.m. - 12 p.m.",no restrictions,allowed,t,,
International Drop-In Center,http://idicseniorcenter.org,(206) 587-3735,7301 Beacon Ave. S.,"Helps seniors apply for benefits\, job training\, affordable housing and interpretation. Provides assistance with immigration and food bags. Serves Asian older adults 55 and older and people with disabilities. Call for more information. No fees for most services; hot meals are $3 suggested donation.","Office: Mon. – Fri.\, 9 a.m. – 5 p.m.; Food bags: Fri.\, 1 – 2 p.m.; Meals: Wed.\, Fri.\, 11 a.m. – 1 p.m.",no restrictions,not allowed,t,,
Kawabe Memorial House,http://kawabehouse.org,(206) 322-4550,221 18th Ave. S.,"Offers meals and affordable housing. Serves a Japanese and American style lunch. Serves adults\, 60 and older. Call for a reservation two days in advance. $4 suggested donation. Call for information on affordable rental units.","Meals: Mon. – Fri.\, 11:30 a.m.",no restrictions,not allowed,t,,
MAPS,http://mapsredmond.org,(425) 861-9555,"7550 NE 67th Ct.\, Redmond","Core services include emergency assistance referral\, a legal clinic\, counseling\, refugee assimilation\, elder services and Islamic funeral services. Serves the Muslims of Puget Sound. Call or visit website for more information.","Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
Muslim Community Resource Center,http://mcrcseattle.org,(888) 404-6272,16225 NE 87th St. Suite A4,"Core services include emergency assistance referral\, a legal clinic\, counseling\, refugee assimilation\, elder services and Islamic funeral services. Serves the Muslims of Puget Sound. Call or visit website for more information.","Mon. – Thurs.\, 10 a.m. – 4 p.m.",no restrictions,allowed,t,,
Mothers for Police Accountability,http://mothersforpoliceaccountability.org,(206) 329-2033,,24-hour phone line to report police violence and get support. Serves everyone. Call. No fees.,Hotline: 24 Hours,no restrictions,allowed,t,,
National Asian Pacific Center on Aging,http://napca.org/programs/scsep/,(206) 322-5272,"1511 Third Ave.\, Suite 914","Offers employment training. Serves low income Asian and Pacific Islander residents\, 55 and older. Call to apply/make an appointment. No fees.","Mon. – Fri.\, 8:30 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Neighborhood Legal Clinics\, MLK Jr. Way S.",http://kcba.org/For-the-Public/Free-Legal-Assistance/,(206) 695-7639,3639 MLK Jr. Way S.,Operates a legal clinic. Serves Asian and Pacific Islander clients who have a case filed in King County. Call the appointment line and leave a message. No fees.,"Clinic: Wed.\, 5:45 – 7:45 p.m.\, Office: Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
Seattle Chinatown International District Preservation and Development Authority,http://scidpda.org/what-we-do/legacyhouse/,(206) 624-8929,"Bush Asia Center\, 409 Maynard Ave. S.\, Suite P2","Congregate Asian meals\, wellness exercises\, health education\, social and recreational activities and referral to other services. Serves individuals 60 and older. Visit in person. Suggested donation of $2.50. $5 charge for those under age 60.","Lunch: Mon. –Fri.\, 11 a.m. – 12:30 p.m.; doors open: 10 a.m. - 2 p.m.; Office: Mon. - Fri.\, 9 a.m. - 1 p.m.",no restrictions,allowed,t,,
Urban Impact,http://urbanimpactseattle.org/uirac,(206) 722-2052 x 218,7728 Rainier Ave. S.,Offers counseling from a Christian world view. Focuses on African American families. Intake in person or over the phone. Sliding scale fees. Accepts private insurance.,"Hours vary; make appointment: Mon. - Fri.\, 9 a.m. - 6 p.m.",no restrictions,allowed,t,,
Urban League of Metropolitan Seattle,http://urbanleague.org,(206) 461-3792 x 3025,105 14th Ave. Suite 200,"Housing counseling services\, employment services and re-entry workshops. Serves African-Americans (non-exclusively). Call for information.","Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
Country Doctor - Cherry Hill,http://countrydoctor.org,,"Swedish Cherry Hill\, 550 16th Ave.","Comprehensive health services and an after-hours clinic. Serves everyone. Walk-ins only. Sliding scale fees. Accepts Medicare\, Apple Health (Medic- aid) and insurance. No one will be turned away due to inability to pay.","Mon. – Fri.\, 6 – 10 p.m.; Sat.\, Sun.\, noon – 10 p.m.",no restrictions,allowed,t,,
Harborview Medical Respite,http://uwmedicine.org/locations/,(206) 744-5200,800 Jefferson St.,"Short-term respite beds serving homeless adults who are too sick to be in a regular shelter and are leaving any hospital\, clinic or emergency department. Social worker or health care provider must contact intake. Accepts Apple Health (Medicaid) and Medicare. Assesses for charity care.","Intake: daily\, 8 a.m. – 4:30 p.m.",no restrictions,not allowed,t,,
Hepatitis Education Project,http://hepeducation.org,(206) 732-0311,"1621 S. Jackson St.\, Suite 201",Offers Hepatitis B & C testing and Hepatitis A & B vaccinations. Serves everyone. Call for an appointment. No fees. Free Syringe Access & Naloxone Program; Tue/Thur 1pm - 5pm;,"Mon. – Fri.\, 9 a.m. – 5 p.m.; Free Syringe Access & Naloxone Program: Tue/Thur 1pm - 5pm",no restrictions,allowed,t,,
King County Public Health Centers,http://kingcounty.gov/healthservices,(206) 296-4600,Check website for locations,"Adult medical care. Call for appointment. Accepts Medicare\, Apple Health (Medicaid) and has a tiered flat fee for those who are uninsured. No one is denied service due to inability to pay. Multiple locations throughout King County",Check website for hours,no restrictions,allowed,t,,
King County Public Health STD Clinic,http://kingounty.gov/std,(206) 744-3590,908 Jefferson St. 11th Floor,"Offers diagnosis and treatment of sexually transmitted diseases\, including HIV. Serves everyone. Staff are sensitive to the needs of LGBTQI. No appointment needed. Call for wait times.  Health exams\, referrals and partner notification for people who are newly HIV positive. Call for an appointment. Sliding scale fees\, but no person will be denied. Medicare\, Apple Health (Medicaid) and insurance accepted.","Walk In Clinic: Mon.\, Thurs.\, Fri.\, 7:30 a.m. – 6 p.m.; Tue.\, 9:30 a m. – 6 p.m.; Wed.\, 7:30 a.m. – 7:30 p.m.",no restrictions,allowed,t,,
Lake City Rotary Free Clinic,http://sites.google.com/site/rotacareps/,(206) 414-6984,McDermott Place 12736 33rd Ave. NE,Drop-in clinic offers basic health care for those who have no access to other services. Serves low-income households without health insurance. Visit in person. No fees.,"Sat.\, 10 a.m. – 1 p.m.",no restrictions,allowed,t,,
Neighborcare Health Ballard Homeless Clinic,http://neighborcare.org,(206) 782-5939,"Nyer Urness House\, 1753 NW 56th St.\, Suite 200",Health care services and mental health counseling serving homeless adults 18 and older. Offers social work services. Call or drop-in. Services free. Accepts Apple Health (Medicaid) and most health insurance plans.,"Mon. – Fri.\, 9 a.m. – 4:30 p.m.",no restrictions,allowed,t,,
North Helpline,http://sites.google.com/site/rotacareps/,(206) 417-0326,12736 33rd Ave. NE,"Drop-in clinic offers basic health care for acute illnesses and injuries. Serves low-income households without health insurance. Visit in person. For information\, call. No fees.","Sat.\, 10 a.m. – 12:30 p.m.",no restrictions,allowed,t,,
Pioneer Square Medical Clinic,http://uwmedicine.org/locations/pioneer-square,(206) 744-1500,206 Third Ave. S.,"Offers comprehensive outpatient health and mental health services. Social workers are available. Serves adults 18 and older who are low-income\, homeless and without health insurance living in downtown Seattle and Pioneer Square. Visit in person; returning clients can call. Apple Health (Medicaid)\, Medicare and other insurance accepted. Homeless people do not have to pay.","Mon.\, Tue.\, Thurs.\, Fri.\, 7 a.m. – 5 p.m.; Wed.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Puget Sound Christian Clinic\, N. 122nd St.",http://pschristianclinic.org/medicalclinic,(206) 363-4105 x230,2152 N. 122nd St.,Medical care services for low-income and underinsured individuals. Cannot provide urgent care. Call for an appointment. Free or $10 donation suggestion. Does not bill patients or insurance.,"Mon 4pm - 8pm Wed.\, 5 – 9 p.m.; Fri.\, 9 a.m. – 1 p.m.",no restrictions,allowed,t,,
"Puget Sound Christian Clinic\, Aurora Ave. N.",http://pschristianclinic.org/medicalclinic,(206) 363-4105 x230,"8914 Aurora Ave N.\, The Aurora Commons",Medical care services for low-income and underinsured individuals - foot and wound care. Cannot provide urgent care. Walk-in only. Free or $10 donation suggestion. Does not bill patients or insurance.,"Wed.\, 11 a.m. – 2 p.m.",no restrictions,allowed,t,,
Sea Mar Community Health Centers,http://seamar.org,,See website for locations,"Offers diagnosis\, treatment and health management. Serves everyone. Call for appointment or visit in person. Sliding scale fees. Medicare and Apple Health (Medicaid) accepted.",See website for hours,no restrictions,allowed,t,,
Third Avenue Primary Care Clinic,http://uwmedicine.org/locations/third-avenue-center,(206) 521-1231,2028 Third Ave.,"Primary care clinic and mental health services for homeless or low-income people without health insurance or a primary care provider. Visit in person; established clients may call. Accepts Medicare\, Apple Health (Medicaid) and private insurance. Homeless people do not have to pay.","Mon – Fri.\, 8:05 a.m. – 4 p.m.; Wed 8:30 - 4:00 pm",no restrictions,allowed,t,,
Center for MultiCultural Health,http://multi-culturalhealth.org,(206) 461-6910,"1120 E. Terrace St.\, Suite 200","Assistance accessing basic and emergency health resources\, naturalization\, ESL instruction\, public benefits and health insurance. Offers free HIV screening to eligible people of color. Home visits are available. Serves immigrant and refugee families. Call for more information. No fees. ","Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
Entre Hermanos,http://entrehermanos.org/hiv-prevention/,(206) 322-7700,1105 23rd Ave.,"Offers HIV/AIDS prevention education\, testing\, support groups and case management. Offered in Spanish and English. Serves Latino men who have sex with men and anyone who is HIV positive. Call. No fees.","Office: Mon. – Fri.\, 10 a.m. – 6 p.m.; HIV testing: 1 – 4:30 p.m.",men only,allowed,t,,
"Gay City\, Out of the Closet",http://gaycity.org/wellness/,(206) 860-6969,1016 E. Pike St.,"HIV/STI testing\, assistance obtaining PrEP. Serving gay and bisexual men\, trans individuals\, gender non-conforming and non-binary people\, 14 and older. Services in English and Spanish. Call or visit website to make an appointment. Drop-in testing. No fees.","Mon. – Fri.\, 11 a.m. – 7 p.m.; Sat.\, noon – 5 p.m. (last client seen 45 minutes before closing",no restrictions,allowed,t,,
"Gay City\, Main Office",http://gaycity.org/wellness/,(206) 860-6970,517 E. Pike St.,"HIV/STI testing\, assistance obtaining PrEP. Serving gay and bisexual men\, trans individuals\, gender non-conforming and non-binary people\, 14 and older. Services in English and Spanish. Call or visit website to make an appointment. No fees.","Mon. – Fri.\, 3 – 8 p.m.; Sat.\, 12:30 – 5 p.m.",no restrictions,allowed,t,,
Harborview Medical Center Madison Clinic,http://uwmedicine.org/locations/madison-harborview,(206) 744-5100; Care Coordinator: (206) 744-5155,"325 Ninth Ave.\, Second Floor\, West Clinic","Medical care and social services\, including PrEP. Serves those needing an HIV/AIDS expert. Call for an appointment. Accepts most private insurance\, Medicare and Apple Health (Medicaid). No one will be turned away due to inability to pay.","Mon. – Fri.\, 8 a.m. – 4:30 p.m.",no restrictions,allowed,t,,
"King County Public Health\, Fifth Ave.",http://kingcounty.gov/depts/health/,English: (206) 263-2410; Spanish: (206) 744-4395,"401 Fifth Ave.\, Suite 1250","Initial testing\, health exams\, referrals and partner notification for people who are newly HIV positive. Call for an appointment. Services available regardless of ability to pay. Sliding scale fees. Medicare\, Apple Health (Medicaid) and private insurance accepted.","Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Neighborhood House\, 136th St.",http://nhwa.org/lookinside/,(206) 257-6891,"1210 SW 136th St.\, Burien","HIV and Hepatitis C testing\, HIV counseling and referrals to mental health and substance use disorder treatment for African\, African-American and Latino adults. Call for eligibility and appointment information. No fees.","Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
People of Color Against AIDS Network,http://pocaan.org,(206) 322-7061,4437 Rainier Ave. S.,"Information\, advocacy\, therapy and emotional support serving African-American and Latino clients. Call or visit website. No fees.","Mon. – Fri.\, 9 a.m. – 5:30 p.m.",no restrictions,allowed,t,,
Samaritan Center of Puget Sound,http://samaritanps.org/node/390,(206) 527-2266,564 NE Ravenna Blvd.,"Practical support such as transportation\, meal preparation and child care for people with AIDS. Call for information. No fees. *Services may be limited due to religious affiliation.","Main office: Mon. – Thurs.\, 8 a.m. – 7 p.m.; Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
Seattle Counseling Service,http://seattlecounseling.org/mental-health-counseling/,(206) 323-1768,"1216 Pine St.\, Suite 300","Short-term crisis intervention counseling and ongoing therapy. Serves those with HIV/AIDS and significant others. Substance use treatment and therapeutic counseling\, including counseling for mental health illnesses\, primarily serving LGBTQ people. Agency provides DBHR-certified service(s). Call for information or apply online. Sliding scale fees. Accepts Apple Health (Medicaid) and most insurance plans.","Office: Mon. – Thurs.\, 8 a.m. – 8 p.m.; Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"University of Washington\, Virology Clinic",http://uwmedicine.org/locations/virology-uwmc-roosevelt,(206) 598-8750,4245 Roosevelt Way NE,"Offers comprehensive health care and prescriptions\, case management and outreach services. Will prescribe PrEP. Services are multicultural. Serves those diagnosed or at high risk for HIV infection. Call for an appointment. Private insurance\, Medicare and Apple Health (Medicaid) accepted.","PrEP Clinic: Mon.\, 1 – 5 p.m.; Wed.\, 8 a.m. – noon; Appointments: Mon.\, Wed.\, Fri.\, 8:30 a.m. – 5 p.m.",no restrictions,allowed,t,,
Aloha Inn,http://ccsww.org/get-help/shelter-homeless-services/aloha-inn/,(206) 283-6070,1911 Aurora Ave. N.,"Operates structured transitional housing. Serves adults\, single or couples. Accepts both co-ed and same-sex couples. Must be working or have an income\, but cannot exceed $1\,200 gross monthly. Sobriety required on the premises. No sex offenders. Call for application location. Documents Required: valid\, legal picture ID. Rent is $5 to $25 per week.","Applications: Wed.\, 10 a.m. – noon. Thurs.\, 5 – 7 p.m.",no restrictions,not allowed,t,,
Attain Housing,http://attainhousing.org,(425) 576-9531,"125 State St. S.\, Kirkland",Housing and supportive services for homeless families or families at risk of becoming homeless in King County. Call 211 for screening.,"Call 211: Mon. – Fri.\, 8 a.m. – 6 p.m.",no restrictions,allowed,t,,
Bellwether Housing,http://bellwetherhousing.org/find-an-apartment,(206) 623-0506,1651 Bellevue Ave.,Permanent rental housing. Manages subsidized low-income housing units that are available through a waiting list. Apply through the website then call the individual buildings that match your needs criteria.,"Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
Catholic Housing Services,http://ccsww.org,(206) 323-6336,100 23rd Ave. S.,"Transitional housing\, permanent housing and supportive services for low-income individuals\, families\, seniors and persons with special physical and mental needs. Call for more information or look at options on the website. Accepts Comprehensive Reusable Tenant Screening Reports.",,no restrictions,allowed,t,,
Compass Housing Alliance,http://compasshousingalliance.org,(206) 474-1000; Hygiene Services: (206) 474-1680; Veterans Center Renton: (206) 474-1910; Pioneer Square Men’s Program: (206) 474-1840,77 S. Washington St.,"Transitional and permanent housing for low-income individuals and families. Programs include specialty housing and supportive services for seniors\, veterans and other populations. Offers toilets\, showers\, laundry service and nurse care. Serves homeless adults\, 18 and older only. To receive mail use the address above. To pick up mail must have photo ID.  Visit in person. No fees. Closed holidays.","Mon. – Fri.\, 9 a.m. – 4 p.m.; Showers: Mon. – Fri.\, 7 a.m. – 2 p.m.; Toilets: Mon. – Fri.\, 7 a.m. – 2:30 p.m.; Laundry: Mon. – Fri.\, 7 a.m. – 12:45 p.m.",no restrictions,allowed,t,,
Conquest Center,http://facebook.com/pg/conquestcenter/,(206) 246-5263,4617 S. 144th St.,Operates a sobriety house where clients participate in Christian-based therapy and counseling. Serves single adults who are in recovery from drug/alcohol abuse. Call and leave message. *Services may be limited due to religious affiliation.,"Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,not allowed,t,,
"Coordinated Entry for All 211\, Central Seattle",http://kingcounty.gov/depts/community-human-services/housing/services/homeless-housing/coordinated-entry.aspx,(206) 328-5900,"Catholic Community Services\, 100 23rd Ave.","A large referral service in King County that connects clients to supportive\, low-income and affordable housing services. Serves all people experiencing homelessness in King County. Call 211 for more information\, all locations and to schedule an appointment. Limited walk-in hours are available at specific locations.","Call: Mon. – Fri.\, 8 a.m. – 6 p.m.; Walk-in hours: Thurs.\, 9 a.m. – noon",no restrictions,allowed,t,,
"Coordinated Entry for All 211\, North Seattle",http://kingcounty.gov/depts/community-human-services/housing/services/homeless-housing/coordinated-entry.aspx,(206) 753-4890,"Solid Ground\, 9600 College Way N","A large referral service in King County that connects clients to supportive\, low-income and affordable housing services. Serves all people experiencing homelessness in King County. Call 211 for more information\, all locations and to schedule an appointment. Limited walk-in hours are available at specific locations.","Call: Mon. – Fri.\, 8 a.m. – 6 p.m.",no restrictions,allowed,t,,
